time,condition,area_bin,frequency
day2,1,550,0.003197039
day2,1,650,0.007067138
day2,1,750,0.015143867
day2,1,850,0.022042739
day2,1,950,0.027090695
day2,1,1050,0.044253744
day2,1,1150,0.061585058
day2,1,1250,0.089517079
day2,1,1350,0.107521454
day2,1,1450,0.119468282
day2,1,1550,0.117953895
day2,1,1650,0.100790846
day2,1,1750,0.080430759
day2,1,1850,0.057546694
day2,1,1950,0.043917214
day2,1,2050,0.028268551
day2,1,2150,0.019013966
day2,1,2250,0.015480397
day2,1,2350,0.007740199
day2,1,2450,0.007235403
day2,1,2550,0.008581524
day2,1,2650,0.005047956
day2,1,2750,0.002187447
day2,1,2850,0.002523978
day2,1,2950,0.001850917
day2,1,3050,0.001177856
day2,1,3150,0.001177856
day2,1,3250,0.001009591
day2,1,3350,0.000673061
day2,1,3450,0.000504796
day2,2,550,0.00580341
day2,2,650,0.013178576
day2,2,750,0.025510821
day2,2,850,0.036754927
day2,2,950,0.050779833
day2,2,1050,0.060693991
day2,2,1150,0.080643211
day2,2,1250,0.10663765
day2,2,1350,0.110869302
day2,2,1450,0.107242171
day2,2,1550,0.0914037
day2,2,1650,0.075565228
day2,2,1750,0.063837505
day2,2,1850,0.043525571
day2,2,1950,0.035666788
day2,2,2050,0.019707411
day2,2,2150,0.018135655
day2,2,2250,0.011727723
day2,2,2350,0.010276871
day2,2,2450,0.008342401
day2,2,2550,0.005440696
day2,2,2650,0.003022609
day2,2,2750,0.004594366
day2,2,2850,0.002901705
day2,2,2950,0.001692661
day2,2,3050,0.002297183
day2,2,3150,0.001209044
day2,2,3250,0.000846331
day2,2,3350,0.001088139
day2,2,3450,0.000604522
day2,3,550,0.007889546
day2,3,650,0.011702827
day2,3,750,0.021301775
day2,3,850,0.030769231
day2,3,950,0.037343853
day2,3,1050,0.056278764
day2,3,1150,0.073372781
day2,3,1250,0.090992768
day2,3,1350,0.10834977
day2,3,1450,0.107429323
day2,3,1550,0.095726496
day2,3,1650,0.08731098
day2,3,1750,0.07113741
day2,3,1850,0.054043393
day2,3,1950,0.040762656
day2,3,2050,0.028533859
day2,3,2150,0.018540434
day2,3,2250,0.011965812
day2,3,2350,0.010519395
day2,3,2450,0.007363577
day2,3,2550,0.00644313
day2,3,2650,0.004076266
day2,3,2750,0.00539119
day2,3,2850,0.003155819
day2,3,2950,0.002629849
day2,3,3050,0.003287311
day2,3,3150,0.001709402
day2,3,3250,0.000788955
day2,3,3350,0.000657462
day2,3,3450,0.00052597
day2,4,550,0.004254565
day2,4,650,0.00904095
day2,4,750,0.017018259
day2,4,850,0.02659103
day2,4,950,0.042013827
day2,4,1050,0.052827513
day2,4,1150,0.077113987
day2,4,1250,0.104414111
day2,4,1350,0.116114164
day2,4,1450,0.110618685
day2,4,1550,0.101755008
day2,4,1650,0.089700408
day2,4,1750,0.065945754
day2,4,1850,0.051409325
day2,4,1950,0.034213792
day2,4,2050,0.025527389
day2,4,2150,0.017727353
day2,4,2250,0.013472789
day2,4,2350,0.007800035
day2,4,2450,0.006559121
day2,4,2550,0.005140932
day2,4,2650,0.004609112
day2,4,2750,0.003900018
day2,4,2850,0.003722744
day2,4,2950,0.001595462
day2,4,3050,0.002481829
day2,4,3150,0.001418188
day2,4,3250,0.000886368
day2,4,3350,0.001063641
day2,4,3450,0.001063641
day2,5,550,0.003481013
day2,5,650,0.009810127
day2,5,750,0.019462025
day2,5,850,0.032594937
day2,5,950,0.047626582
day2,5,1050,0.075632911
day2,5,1150,0.087025316
day2,5,1250,0.113132911
day2,5,1350,0.124050633
day2,5,1450,0.114240506
day2,5,1550,0.098734177
day2,5,1650,0.076582278
day2,5,1750,0.062183544
day2,5,1850,0.040981013
day2,5,1950,0.026265823
day2,5,2050,0.017088608
day2,5,2150,0.011867089
day2,5,2250,0.009177215
day2,5,2350,0.005379747
day2,5,2450,0.006329114
day2,5,2550,0.00443038
day2,5,2650,0.003322785
day2,5,2750,0.001898734
day2,5,2850,0.001740506
day2,5,2950,0.001898734
day2,5,3050,0.002056962
day2,5,3150,0.001265823
day2,5,3250,0.001107595
day2,5,3350,0.000316456
day2,5,3450,0.000316456
day2,6,550,0.003784295
day2,6,650,0.00614948
day2,6,750,0.012298959
day2,6,850,0.019236834
day2,6,950,0.028066856
day2,6,1050,0.039104383
day2,6,1150,0.061652476
day2,6,1250,0.08388521
day2,6,1350,0.102018291
day2,6,1450,0.115263324
day2,6,1550,0.110217597
day2,6,1650,0.101229896
day2,6,1750,0.082623778
day2,6,1850,0.062598549
day2,6,1950,0.04415011
day2,6,2050,0.032639546
day2,6,2150,0.023021129
day2,6,2250,0.015925576
day2,6,2350,0.014033428
day2,6,2450,0.011825922
day2,6,2550,0.007095553
day2,6,2650,0.006307159
day2,6,2750,0.003626616
day2,6,2850,0.003626616
day2,6,2950,0.002207506
day2,6,3050,0.002365184
day2,6,3150,0.00157679
day2,6,3250,0.001734469
day2,6,3350,0.000946074
day2,6,3450,0.000788395
day3,1,550,0.00755054
day3,1,650,0.012827799
day3,1,750,0.022732808
day3,1,850,0.033206138
day3,1,950,0.044166599
day3,1,1050,0.062190468
day3,1,1150,0.089145084
day3,1,1250,0.107250142
day3,1,1350,0.117317529
day3,1,1450,0.109036291
day3,1,1550,0.10099862
day3,1,1650,0.085410408
day3,1,1750,0.063327109
day3,1,1850,0.047170577
day3,1,1950,0.036697248
day3,1,2050,0.01916051
day3,1,2150,0.013720874
day3,1,2250,0.008443615
day3,1,2350,0.006332711
day3,1,2450,0.003572298
day3,1,2550,0.002679224
day3,1,2650,0.001867338
day3,1,2750,0.000893075
day3,1,2850,0.001055452
day3,1,2950,0.001299018
day3,1,3050,0.000324754
day3,1,3150,0.00056832
day3,1,3250,0.000243566
day3,1,3350,0.000405943
day3,1,3450,0.000405943
day3,2,550,0.004661366
day3,2,650,0.009596929
day3,2,750,0.024677817
day3,2,850,0.048121744
day3,2,950,0.06896079
day3,2,1050,0.108719495
day3,2,1150,0.127639155
day3,2,1250,0.134357006
day3,2,1350,0.122429394
day3,2,1450,0.098437072
day3,2,1550,0.076501234
day3,2,1650,0.056073485
day3,2,1750,0.038661914
day3,2,1850,0.025226213
day3,2,1950,0.018234165
day3,2,2050,0.012476008
day3,2,2150,0.007403345
day3,2,2250,0.005621058
day3,2,2350,0.003427475
day3,2,2450,0.002056485
day3,2,2550,0.002330683
day3,2,2650,0.000548396
day3,2,2750,0.00137099
day3,2,2850,0.000411297
day3,2,2950,0.000685495
day3,2,3050,0.000548396
day3,2,3150,0.000274198
day3,2,3250,0.000274198
day3,2,3350,0.000137099
day3,2,3450,0.000137099
day3,3,550,0.014084507
day3,3,650,0.020287528
day3,3,750,0.032547617
day3,3,850,0.045537474
day3,3,950,0.056411005
day3,3,1050,0.078522951
day3,3,1150,0.098591549
day3,3,1250,0.120849449
day3,3,1350,0.122017077
day3,3,1450,0.113332847
day3,3,1550,0.093118295
day3,3,1650,0.06808728
day3,3,1750,0.047580822
day3,3,1850,0.031671897
day3,3,1950,0.021236226
day3,3,2050,0.012989856
day3,3,2150,0.006786835
day3,3,2250,0.004378603
day3,3,2350,0.003429906
day3,3,2450,0.002189302
day3,3,2550,0.002043348
day3,3,2650,0.001021674
day3,3,2750,0.000875721
day3,3,2850,0.000729767
day3,3,2950,0.000291907
day3,3,3050,0.00021893
day3,3,3150,0.000364884
day3,3,3250,0.000510837
day3,3,3350,0.000291907
day3,3,3450,0
day3,4,550,0.008055898
day3,4,650,0.014221126
day3,4,750,0.020715166
day3,4,850,0.041183724
day3,4,950,0.072009864
day3,4,1050,0.111138512
day3,4,1150,0.139827374
day3,4,1250,0.146157008
day3,4,1350,0.130291821
day3,4,1450,0.103411426
day3,4,1550,0.079161529
day3,4,1650,0.053431977
day3,4,1750,0.032552404
day3,4,1850,0.018824497
day3,4,1950,0.010439786
day3,4,2050,0.007398274
day3,4,2150,0.004192355
day3,4,2250,0.001808467
day3,4,2350,0.001315249
day3,4,2450,0.001233046
day3,4,2550,0.000328812
day3,4,2650,0.00082203
day3,4,2750,0.000411015
day3,4,2850,0.000246609
day3,4,2950,0.000246609
day3,4,3050,0.000164406
day3,4,3150,0.000164406
day3,4,3250,8.22E-05
day3,4,3350,8.22E-05
day3,4,3450,8.22E-05
day3,5,550,0.010242086
day3,5,650,0.018621974
day3,5,750,0.031657356
day3,5,850,0.041713222
day3,5,950,0.064804469
day3,5,1050,0.091247672
day3,5,1150,0.116387337
day3,5,1250,0.133705773
day3,5,1350,0.129795158
day3,5,1450,0.110800745
day3,5,1550,0.083240223
day3,5,1650,0.062290503
day3,5,1750,0.035009311
day3,5,1850,0.027094972
day3,5,1950,0.015456238
day3,5,2050,0.009217877
day3,5,2150,0.005027933
day3,5,2250,0.003817505
day3,5,2350,0.002327747
day3,5,2450,0.002607076
day3,5,2550,0.001117318
day3,5,2650,0.000744879
day3,5,2750,0.001117318
day3,5,2850,0.00027933
day3,5,2950,0.000372439
day3,5,3050,0.00018622
day3,5,3150,0.000651769
day3,5,3250,0.00027933
day3,5,3350,0
day3,5,3450,0.00018622
day3,6,550,0.015858295
day3,6,650,0.021979041
day3,6,750,0.033571362
day3,6,850,0.042103311
day3,6,950,0.052490031
day3,6,1050,0.078364092
day3,6,1150,0.106000185
day3,6,1250,0.113048317
day3,6,1350,0.121023834
day3,6,1450,0.104238153
day3,6,1550,0.091347491
day3,6,1650,0.073077993
day3,6,1750,0.049429658
day3,6,1850,0.03051099
day3,6,1950,0.024946675
day3,6,2050,0.012426968
day3,6,2150,0.009830288
day3,6,2250,0.006120746
day3,6,2350,0.004451451
day3,6,2450,0.003060373
day3,6,2550,0.002040249
day3,6,2650,0.000741909
day3,6,2750,0.000556431
day3,6,2850,0.000834647
day3,6,2950,0.000185477
day3,6,3050,0.000463693
day3,6,3150,0.000556431
day3,6,3250,0.000556431
day3,6,3350,9.27E-05
day3,6,3450,9.27E-05
day4,1,550,0.008560398
day4,1,650,0.009847256
day4,1,750,0.012141219
day4,1,850,0.016057741
day4,1,950,0.023275332
day4,1,1050,0.041235383
day4,1,1150,0.066133274
day4,1,1250,0.102109327
day4,1,1350,0.119957478
day4,1,1450,0.11688021
day4,1,1550,0.116096906
day4,1,1650,0.105690147
day4,1,1750,0.087562245
day4,1,1850,0.062608404
day4,1,1950,0.046662564
day4,1,2050,0.026352599
day4,1,2150,0.016561294
day4,1,2250,0.0088961
day4,1,2350,0.004587926
day4,1,2450,0.003245118
day4,1,2550,0.001230907
day4,1,2650,0.001286857
day4,1,2750,0.000671404
day4,1,2850,0.000783304
day4,1,2950,0.000671404
day4,1,3050,5.60E-05
day4,1,3150,0.000223801
day4,1,3250,0.000391652
day4,1,3350,0.000111901
day4,1,3450,0.000111901
day4,2,550,0.003077903
day4,2,650,0.004988325
day4,2,750,0.007747824
day4,2,850,0.01878582
day4,2,950,0.038102314
day4,2,1050,0.064848228
day4,2,1150,0.087242624
day4,2,1250,0.100403311
day4,2,1350,0.114837614
day4,2,1450,0.110698366
day4,2,1550,0.113139461
day4,2,1650,0.106452982
day4,2,1750,0.081086818
day4,2,1850,0.059329229
day4,2,1950,0.03778391
day4,2,2050,0.020377839
day4,2,2150,0.011780938
day4,2,2250,0.008172363
day4,2,2350,0.004033114
day4,2,2450,0.00254723
day4,2,2550,0.001485884
day4,2,2650,0.000955211
day4,2,2750,0.000530673
day4,2,2850,0.000318404
day4,2,2950,0.000212269
day4,2,3050,0.000424538
day4,2,3150,0.000106135
day4,2,3250,0.000212269
day4,2,3350,0.000106135
day4,2,3450,0.000212269
day4,3,550,0.01006225
day4,3,650,0.017395753
day4,3,750,0.021318325
day4,3,850,0.030783662
day4,3,950,0.031977488
day4,3,1050,0.045877036
day4,3,1150,0.059520764
day4,3,1250,0.077342884
day4,3,1350,0.08885478
day4,3,1450,0.102157415
day4,3,1550,0.09712629
day4,3,1650,0.091327705
day4,3,1750,0.085358574
day4,3,1850,0.068218641
day4,3,1950,0.052613627
day4,3,2050,0.040760638
day4,3,2150,0.029078196
day4,3,2250,0.018163213
day4,3,2350,0.012961542
day4,3,2450,0.006480771
day4,3,2550,0.004434212
day4,3,2650,0.003410932
day4,3,2750,0.001790739
day4,3,2850,0.00102328
day4,3,2950,0.000682186
day4,3,3050,0.00051164
day4,3,3150,0.00025582
day4,3,3250,0.00025582
day4,3,3350,8.53E-05
day4,3,3450,0.000170547
day4,4,550,0.006690055
day4,4,650,0.010361426
day4,4,750,0.020641266
day4,4,850,0.041608877
day4,4,950,0.080688586
day4,4,1050,0.119523538
day4,4,1150,0.146773272
day4,4,1250,0.148649751
day4,4,1350,0.129069103
day4,4,1450,0.102227299
day4,4,1550,0.075140736
day4,4,1650,0.047809415
day4,4,1750,0.028391939
day4,4,1850,0.019091132
day4,4,1950,0.009790324
day4,4,2050,0.004813576
day4,4,2150,0.002773925
day4,4,2250,0.001631721
day4,4,2350,0.001631721
day4,4,2450,0.000652688
day4,4,2550,0.000489516
day4,4,2650,0.000489516
day4,4,2750,0.000489516
day4,4,2850,0.000326344
day4,4,2950,0
day4,4,3050,8.16E-05
day4,4,3150,8.16E-05
day4,4,3250,0
day4,4,3350,0
day4,4,3450,8.16E-05
day4,5,550,0.005581473
day4,5,650,0.007830723
day4,5,750,0.015494835
day4,5,850,0.026741086
day4,5,950,0.047984005
day4,5,1050,0.081389537
day4,5,1150,0.109380207
day4,5,1250,0.126957681
day4,5,1350,0.125541486
day4,5,1450,0.118960347
day4,5,1550,0.097884039
day4,5,1650,0.079390203
day4,5,1750,0.05898034
day4,5,1850,0.038487171
day4,5,1950,0.026157947
day4,5,2050,0.014661779
day4,5,2150,0.008580473
day4,5,2250,0.0044985
day4,5,2350,0.002165945
day4,5,2450,0.001249583
day4,5,2550,0.000583139
day4,5,2650,0.000333222
day4,5,2750,0.000583139
day4,5,2850,0.000499833
day4,5,2950,8.33E-05
day4,5,3050,0
day4,5,3150,0
day4,5,3250,0
day4,5,3350,0
day4,5,3450,0
day4,6,550,0.010737362
day4,6,650,0.014063094
day4,6,750,0.017246294
day4,6,850,0.020857089
day4,6,950,0.022567465
day4,6,1050,0.026653364
day4,6,1150,0.036868111
day4,6,1250,0.052356518
day4,6,1350,0.062903839
day4,6,1450,0.071835804
day4,6,1550,0.086801596
day4,6,1650,0.088987077
day4,6,1750,0.090982516
day4,6,1850,0.085803877
day4,6,1950,0.075921703
day4,6,2050,0.059673128
day4,6,2150,0.048175599
day4,6,2250,0.033874952
day4,6,2350,0.026130749
day4,6,2450,0.019336754
day4,6,2550,0.015488407
day4,6,2650,0.009312049
day4,6,2750,0.006081338
day4,6,2850,0.004513493
day4,6,2950,0.003325732
day4,6,3050,0.002613075
day4,6,3150,0.002803117
day4,6,3250,0.001900418
day4,6,3350,0.000950209
day4,6,3450,0.001235272
day5,1,550,0.012178855
day5,1,650,0.012584817
day5,1,750,0.014672621
day5,1,850,0.01925419
day5,1,950,0.021457983
day5,1,1050,0.028243345
day5,1,1150,0.035550658
day5,1,1250,0.048599432
day5,1,1350,0.068491562
day5,1,1450,0.083802123
day5,1,1550,0.09638694
day5,1,1650,0.102824335
day5,1,1750,0.098996694
day5,1,1850,0.091863365
day5,1,1950,0.075508902
day5,1,2050,0.058922461
day5,1,2150,0.043379922
day5,1,2250,0.031027083
day5,1,2350,0.020414081
day5,1,2450,0.013164763
day5,1,2550,0.007539291
day5,1,2650,0.005799455
day5,1,2750,0.003595662
day5,1,2850,0.002203793
day5,1,2950,0.001043902
day5,1,3050,0.001159891
day5,1,3150,0.000695935
day5,1,3250,0.000289973
day5,1,3350,5.80E-05
day5,1,3450,0.000289973
day5,2,550,0.002660361
day5,2,650,0.002660361
day5,2,750,0.005172923
day5,2,850,0.010715341
day5,2,950,0.024830033
day5,2,1050,0.047221401
day5,2,1150,0.077372155
day5,2,1250,0.097029264
day5,2,1350,0.105675436
day5,2,1450,0.107892403
day5,2,1550,0.094886196
day5,2,1650,0.078037245
day5,2,1750,0.072199231
day5,2,1850,0.065326633
day5,2,1950,0.058897428
day5,2,2050,0.047664795
day5,2,2150,0.038575229
day5,2,2250,0.025790718
day5,2,2350,0.01551877
day5,2,2450,0.009089565
day5,2,2550,0.004951227
day5,2,2650,0.003251552
day5,2,2750,0.001625776
day5,2,2850,0.001034585
day5,2,2950,0.00066509
day5,2,3050,0.000738989
day5,2,3150,0.000221697
day5,2,3250,7.39E-05
day5,2,3350,7.39E-05
day5,2,3450,0.000147798
day5,3,550,0.007772896
day5,3,650,0.012031092
day5,3,750,0.01507266
day5,3,850,0.019871578
day5,3,950,0.02358905
day5,3,1050,0.024400135
day5,3,1150,0.026563028
day5,3,1250,0.032916526
day5,3,1350,0.039607976
day5,3,1450,0.04704292
day5,3,1550,0.055153768
day5,3,1650,0.061304495
day5,3,1750,0.064954376
day5,3,1850,0.066711727
day5,3,1950,0.064886786
day5,3,2050,0.065089557
day5,3,2150,0.059006421
day5,3,2250,0.054883407
day5,3,2350,0.048056776
day5,3,2450,0.041568097
day5,3,2550,0.035147009
day5,3,2650,0.031361947
day5,3,2750,0.025887124
day5,3,2850,0.019939169
day5,3,2950,0.014937479
day5,3,3050,0.0133829
day5,3,3150,0.009192295
day5,3,3250,0.008178439
day5,3,3350,0.006150727
day5,3,3450,0.005339642
day5,4,550,0.040487334
day5,4,650,0.048659089
day5,4,750,0.049104821
day5,4,850,0.051482059
day5,4,950,0.057053711
day5,4,1050,0.076591635
day5,4,1150,0.09211797
day5,4,1250,0.103335562
day5,4,1350,0.096055271
day5,4,1450,0.095163807
day5,4,1550,0.08364906
day5,4,1650,0.062848228
day5,4,1750,0.049327687
day5,4,1850,0.03276131
day5,4,1950,0.017754996
day5,4,2050,0.010846148
day5,4,2150,0.007428869
day5,4,2250,0.00341728
day5,4,2350,0.002897259
day5,4,2450,0.002228661
day5,4,2550,0.002302949
day5,4,2650,0.001857217
day5,4,2750,0.002154372
day5,4,2850,0.00111433
day5,4,2950,0.00170864
day5,4,3050,0.001485774
day5,4,3150,0.002228661
day5,4,3250,0.001857217
day5,4,3350,0.000965753
day5,4,3450,0.00111433
day5,5,550,0.007296703
day5,5,650,0.010285714
day5,5,750,0.014417582
day5,5,850,0.01810989
day5,5,950,0.020835165
day5,5,1050,0.028483516
day5,5,1150,0.036835165
day5,5,1250,0.045538462
day5,5,1350,0.060395604
day5,5,1450,0.071296703
day5,5,1550,0.085802198
day5,5,1650,0.089142857
day5,5,1750,0.093186813
day5,5,1850,0.086153846
day5,5,1950,0.079208791
day5,5,2050,0.064615385
day5,5,2150,0.058549451
day5,5,2250,0.041934066
day5,5,2350,0.031472527
day5,5,2450,0.020395604
day5,5,2550,0.012747253
day5,5,2650,0.009406593
day5,5,2750,0.006241758
day5,5,2850,0.002813187
day5,5,2950,0.001934066
day5,5,3050,0.001230769
day5,5,3150,0.000967033
day5,5,3250,0.00043956
day5,5,3350,8.79E-05
day5,5,3450,0.000175824
day5,6,550,0.009680968
day5,6,650,0.010561056
day5,6,750,0.013274661
day5,6,850,0.016574991
day5,6,950,0.017455079
day5,6,1050,0.018555189
day5,6,1150,0.023322332
day5,6,1250,0.022222222
day5,6,1350,0.026182618
day5,6,1450,0.030583058
day5,6,1550,0.034836817
day5,6,1650,0.044444444
day5,6,1750,0.048184818
day5,6,1850,0.057279061
day5,6,1950,0.06593326
day5,6,2050,0.067766777
day5,6,2150,0.069160249
day5,6,2250,0.054125413
day5,6,2350,0.054785479
day5,6,2450,0.043197653
day5,6,2550,0.041217455
day5,6,2650,0.03410341
day5,6,2750,0.031096443
day5,6,2850,0.028236157
day5,6,2950,0.029922992
day5,6,3050,0.025815915
day5,6,3150,0.024642464
day5,6,3250,0.019948662
day5,6,3350,0.019581958
day5,6,3450,0.017308398
day6,1,550,0.006176717
day6,1,650,0.008061139
day6,1,750,0.010573702
day6,1,850,0.016959799
day6,1,950,0.023450586
day6,1,1050,0.029522613
day6,1,1150,0.030674204
day6,1,1250,0.039782245
day6,1,1350,0.04491206
day6,1,1450,0.058835846
day6,1,1550,0.066164154
day6,1,1650,0.079250419
day6,1,1750,0.079041039
day6,1,1850,0.092860134
day6,1,1950,0.090556951
day6,1,2050,0.083752094
day6,1,2150,0.071922111
day6,1,2250,0.051821608
day6,1,2350,0.039572864
day6,1,2450,0.022508375
day6,1,2550,0.021356784
day6,1,2650,0.010887772
day6,1,2750,0.007118928
day6,1,2850,0.005862647
day6,1,2950,0.004187605
day6,1,3050,0.001570352
day6,1,3150,0.000942211
day6,1,3250,0.001046901
day6,1,3350,0.00031407
day6,1,3450,0.00031407
day6,2,550,0.002404627
day6,2,650,0.004354325
day6,2,750,0.004614285
day6,2,850,0.007408852
day6,2,950,0.013322935
day6,2,1050,0.027945668
day6,2,1150,0.056931176
day6,2,1250,0.083057126
day6,2,1350,0.106908429
day6,2,1450,0.11470722
day6,2,1550,0.10638851
day6,2,1650,0.100994346
day6,2,1750,0.096055111
day6,2,1850,0.084616884
day6,2,1950,0.067784493
day6,2,2050,0.046272828
day6,2,2150,0.028985507
day6,2,2250,0.019496978
day6,2,2350,0.011698187
day6,2,2450,0.007473842
day6,2,2550,0.003899396
day6,2,2650,0.002144668
day6,2,2750,0.001234809
day6,2,2850,0.000714889
day6,2,2950,0.00025996
day6,2,3050,6.50E-05
day6,2,3150,0.00019497
day6,2,3250,0
day6,2,3350,0
day6,2,3450,6.50E-05
day6,3,550,0.009746775
day6,3,650,0.012326804
day6,3,750,0.016626851
day6,3,850,0.019971333
day6,3,950,0.02006689
day6,3,1050,0.027998089
day6,3,1150,0.02627807
day6,3,1250,0.029144768
day6,3,1350,0.027998089
day6,3,1450,0.029240325
day6,3,1550,0.033540373
day6,3,1650,0.036693741
day6,3,1750,0.044529384
day6,3,1850,0.053225036
day6,3,1950,0.057716197
day6,3,2050,0.059245103
day6,3,2150,0.057429527
day6,3,2250,0.053416149
day6,3,2350,0.050358337
day6,3,2450,0.047873865
day6,3,2550,0.03927377
day6,3,2650,0.03306259
day6,3,2750,0.033731486
day6,3,2850,0.031820354
day6,3,2950,0.030100334
day6,3,3050,0.026086957
day6,3,3150,0.025226947
day6,3,3250,0.025226947
day6,3,3350,0.021691352
day6,3,3450,0.020353559
day6,4,550,0.009405923
day6,4,650,0.009825518
day6,4,750,0.011783629
day6,4,850,0.017588028
day6,4,950,0.029196825
day6,4,1050,0.051155635
day6,4,1150,0.078429316
day6,4,1250,0.099444037
day6,4,1350,0.114514494
day6,4,1450,0.117416693
day6,4,1550,0.105213469
day6,4,1650,0.090667506
day6,4,1750,0.070736739
day6,4,1850,0.048498199
day6,4,1950,0.031050037
day6,4,2050,0.015804748
day6,4,2150,0.008321969
day6,4,2250,0.006189028
day6,4,2350,0.006468758
day6,4,2450,0.007447813
day6,4,2550,0.007972307
day6,4,2650,0.009405923
day6,4,2750,0.010315046
day6,4,2850,0.009161159
day6,4,2950,0.008252037
day6,4,3050,0.006853386
day6,4,3150,0.006713521
day6,4,3250,0.005594601
day6,4,3350,0.003846288
day6,4,3450,0.002727368
day6,5,550,0.010182296
day6,5,650,0.013302677
day6,5,750,0.01707998
day6,5,850,0.018968632
day6,5,950,0.022910166
day6,5,1050,0.030793234
day6,5,1150,0.035227459
day6,5,1250,0.044424372
day6,5,1350,0.053785515
day6,5,1450,0.059123009
day6,5,1550,0.068073575
day6,5,1650,0.070208573
day6,5,1750,0.074067991
day6,5,1850,0.07234357
day6,5,1950,0.070290688
day6,5,2050,0.0665955
day6,5,2150,0.062818197
day6,5,2250,0.054770898
day6,5,2350,0.045409755
day6,5,2450,0.033667269
day6,5,2550,0.024552472
day6,5,2650,0.017654787
day6,5,2750,0.014452291
day6,5,2850,0.00714403
day6,5,2950,0.005912301
day6,5,3050,0.00295615
day6,5,3150,0.001478075
day6,5,3250,0.001149614
day6,5,3350,0.000574807
day6,5,3450,8.21E-05
day6,6,550,0.010118632
day6,6,650,0.012153989
day6,6,750,0.017213305
day6,6,850,0.020353571
day6,6,950,0.027855315
day6,6,1050,0.028553152
day6,6,1150,0.034135846
day6,6,1250,0.037741335
day6,6,1350,0.036229356
day6,6,1450,0.038264713
day6,6,1550,0.038671784
day6,6,1650,0.041695743
day6,6,1750,0.049953478
day6,6,1850,0.051988835
day6,6,1950,0.054431263
day6,6,2050,0.056117702
day6,6,2150,0.055070947
day6,6,2250,0.051465457
day6,6,2350,0.045650151
day6,6,2450,0.04314957
day6,6,2550,0.033961386
day6,6,2650,0.031518958
day6,6,2750,0.027971621
day6,6,2850,0.023900907
day6,6,2950,0.025063968
day6,6,3050,0.022388928
day6,6,3150,0.024075366
day6,6,3250,0.021691091
day6,6,3350,0.020295418
day6,6,3450,0.018318214
day7,1,550,0.008056335
day7,1,650,0.012770782
day7,1,750,0.015157844
day7,1,850,0.022557737
day7,1,950,0.025839947
day7,1,1050,0.031091484
day7,1,1150,0.03514949
day7,1,1250,0.038252671
day7,1,1350,0.042430029
day7,1,1450,0.046846094
day7,1,1550,0.047383183
day7,1,1650,0.055081458
day7,1,1750,0.057886256
day7,1,1850,0.057468521
day7,1,1950,0.064629707
day7,1,2050,0.06630065
day7,1,2150,0.070060273
day7,1,2250,0.066061944
day7,1,2350,0.057587874
day7,1,2450,0.050008951
day7,1,2550,0.038252671
day7,1,2650,0.029360864
