time,area_bin,frequency,mu
20250322_,550,0.003611165,0.187211542
20250322_,650,0.004587156,0.187211542
20250322_,750,0.00517275,0.187211542
20250322_,850,0.005953543,0.187211542
20250322_,950,0.004879953,0.187211542
20250322_,1050,0.006441538,0.187211542
20250322_,1150,0.012395081,0.187211542
20250322_,1250,0.021959789,0.187211542
20250322_,1350,0.039527621,0.187211542
20250322_,1450,0.062658598,0.187211542
20250322_,1550,0.080031232,0.187211542
20250322_,1650,0.09271911,0.187211542
20250322_,1750,0.100234238,0.187211542
20250322_,1850,0.092914308,0.187211542
20250322_,1950,0.087936756,0.187211542
20250322_,2050,0.076615264,0.187211542
20250322_,2150,0.069392934,0.187211542
20250322_,2250,0.057193051,0.187211542
20250322_,2350,0.041577201,0.187211542
20250322_,2450,0.030548507,0.187211542
20250322_,2550,0.023228577,0.187211542
20250322_,2650,0.018446223,0.187211542
20250322_,2750,0.016201444,0.187211542
20250322_,2850,0.012102284,0.187211542
20250322_,2950,0.010052703,0.187211542
20250322_,3050,0.006539137,0.187211542
20250322_,3150,0.005758345,0.187211542
20250322_,3250,0.004879953,0.187211542
20250322_,3350,0.004001562,0.187211542
20250322_,3450,0.002439977,0.187211542
20250323_,550,0.006389145,0.881547783
20250323_,650,0.005796338,0.881547783
20250323_,750,0.006652615,0.881547783
20250323_,850,0.00757476,0.881547783
20250323_,950,0.007838229,0.881547783
20250323_,1050,0.008233434,0.881547783
20250323_,1150,0.012844158,0.881547783
20250323_,1250,0.02555658,0.881547783
20250323_,1350,0.046238967,0.881547783
20250323_,1450,0.074298511,0.881547783
20250323_,1550,0.101962851,0.881547783
20250323_,1650,0.112304044,0.881547783
20250323_,1750,0.112435779,0.881547783
20250323_,1850,0.106310104,0.881547783
20250323_,1950,0.094849163,0.881547783
20250323_,2050,0.074693716,0.881547783
20250323_,2150,0.054604136,0.881547783
20250323_,2250,0.039586352,0.881547783
20250323_,2350,0.028586484,0.881547783
20250323_,2450,0.022263206,0.881547783
20250323_,2550,0.013436965,0.881547783
20250323_,2650,0.009287314,0.881547783
20250323_,2750,0.007508892,0.881547783
20250323_,2850,0.005071796,0.881547783
20250323_,2950,0.005005928,0.881547783
20250323_,3050,0.003754446,0.881547783
20250323_,3150,0.002371229,0.881547783
20250323_,3250,0.001976024,0.881547783
20250323_,3350,0.001317349,0.881547783
20250323_,3450,0.001251482,0.881547783
20250324_,550,0.004036236,0.834225779
20250324_,650,0.005022872,0.834225779
20250324_,750,0.006637367,0.834225779
20250324_,850,0.00735492,0.834225779
20250324_,950,0.009328191,0.834225779
20250324_,1050,0.019104852,0.834225779
20250324_,1150,0.043053189,0.834225779
20250324_,1250,0.081980447,0.834225779
20250324_,1350,0.110951655,0.834225779
20250324_,1450,0.128711095,0.834225779
20250324_,1550,0.122522199,0.834225779
20250324_,1650,0.115705444,0.834225779
20250324_,1750,0.091757108,0.834225779
20250324_,1850,0.074087362,0.834225779
20250324_,1950,0.051125661,0.834225779
20250324_,2050,0.038568481,0.834225779
20250324_,2150,0.023948336,0.834225779
20250324_,2250,0.0199121,0.834225779
20250324_,2350,0.012019015,0.834225779
20250324_,2450,0.009776662,0.834225779
20250324_,2550,0.007265226,0.834225779
20250324_,2650,0.005650731,0.834225779
20250324_,2750,0.003767154,0.834225779
20250324_,2850,0.002780518,0.834225779
20250324_,2950,0.001704189,0.834225779
20250324_,3050,0.001345412,0.834225779
20250324_,3150,0.00107633,0.834225779
20250324_,3250,0.000448471,0.834225779
20250324_,3350,0.000358777,0.834225779
20250324_,3450,0,0.834225779
20250325_,550,0.008252122,1.116004031
20250325_,650,0.012417479,1.116004031
20250325_,750,0.016975794,1.116004031
20250325_,850,0.01823326,1.116004031
20250325_,950,0.022712983,1.116004031
20250325_,1050,0.032301163,1.116004031
20250325_,1150,0.05375668,1.116004031
20250325_,1250,0.086293618,1.116004031
20250325_,1350,0.108770827,1.116004031
20250325_,1450,0.119380698,1.116004031
20250325_,1550,0.114900975,1.116004031
20250325_,1650,0.105234203,1.116004031
20250325_,1750,0.0902232,1.116004031
20250325_,1850,0.065938384,1.116004031
20250325_,1950,0.045661742,1.116004031
20250325_,2050,0.033794404,1.116004031
20250325_,2150,0.022162842,1.116004031
20250325_,2250,0.01485382,1.116004031
20250325_,2350,0.009038038,1.116004031
20250325_,2450,0.005422823,1.116004031
20250325_,2550,0.003929582,1.116004031
20250325_,2650,0.00337944,1.116004031
20250325_,2750,0.002043383,1.116004031
20250325_,2850,0.000864508,1.116004031
20250325_,2950,0.001100283,1.116004031
20250325_,3050,0.000785916,1.116004031
20250325_,3150,0.000550141,1.116004031
20250325_,3250,0.000628733,1.116004031
20250325_,3350,7.86E-05,1.116004031
20250325_,3450,0.000314367,1.116004031
20250326_,550,0.007123915,0.732588913
20250326_,650,0.011491862,0.732588913
20250326_,750,0.016483802,0.732588913
20250326_,850,0.021735739,0.732588913
20250326_,950,0.024543705,0.732588913
20250326_,1050,0.029431647,0.732588913
20250326_,1150,0.037283553,0.732588913
20250326_,1250,0.045083459,0.732588913
20250326_,1350,0.06499922,0.732588913
20250326_,1450,0.081795018,0.732588913
20250326_,1550,0.09084291,0.732588913
20250326_,1650,0.100150798,0.732588913
20250326_,1750,0.096042847,0.732588913
20250326_,1850,0.087670948,0.732588913
20250326_,1950,0.083043003,0.732588913
20250326_,2050,0.065883209,0.732588913
20250326_,2150,0.050075399,0.732588913
20250326_,2250,0.032343612,0.732588913
20250326_,2350,0.02079975,0.732588913
20250326_,2450,0.013883833,0.732588913
20250326_,2550,0.0083719,0.732588913
20250326_,2650,0.003899953,0.732588913
20250326_,2750,0.002703968,0.732588913
20250326_,2850,0.001715979,0.732588913
20250326_,2950,0.000987988,0.732588913
20250326_,3050,0.000519994,0.732588913
20250326_,3150,0.000311996,0.732588913
20250326_,3250,0.000571993,0.732588913
20250326_,3350,0.000103999,0.732588913
20250326_,3450,0.000103999,0.732588913
20250327_,550,0.005626521,0.118396721
20250327_,650,0.005322384,0.118396721
20250327_,750,0.007831509,0.118396721
20250327_,850,0.012773723,0.118396721
20250327_,950,0.020605231,0.118396721
20250327_,1050,0.032162409,0.118396721
20250327_,1150,0.051018856,0.118396721
20250327_,1250,0.071928224,0.118396721
20250327_,1350,0.088123479,0.118396721
20250327_,1450,0.100364964,0.118396721
20250327_,1550,0.103938564,0.118396721
20250327_,1650,0.102722019,0.118396721
20250327_,1750,0.099756691,0.118396721
20250327_,1850,0.088199513,0.118396721
20250327_,1950,0.06774635,0.118396721
20250327_,2050,0.04995438,0.118396721
20250327_,2150,0.032998783,0.118396721
20250327_,2250,0.022962287,0.118396721
20250327_,2350,0.011937348,0.118396721
20250327_,2450,0.007527372,0.118396721
20250327_,2550,0.005778589,0.118396721
20250327_,2650,0.003497567,0.118396721
20250327_,2750,0.002281022,0.118396721
20250327_,2850,0.001748783,0.118396721
20250327_,2950,0.001368613,0.118396721
20250327_,3050,0.000608273,0.118396721
20250327_,3150,0.00038017,0.118396721
20250327_,3250,0.000228102,0.118396721
20250327_,3350,0.000152068,0.118396721
20250327_,3450,0.000456204,0.118396721
20250328_,550,0.019289234,0.616057099
20250328_,650,0.018660237,0.616057099
20250328_,750,0.016353916,0.616057099
20250328_,850,0.016878079,0.616057099
20250328_,950,0.015934584,0.616057099
20250328_,1050,0.017507076,0.616057099
20250328_,1150,0.024111542,0.616057099
20250328_,1250,0.032498165,0.616057099
20250328_,1350,0.041618618,0.616057099
20250328_,1450,0.058601531,0.616057099
20250328_,1550,0.071600797,0.616057099
20250328_,1650,0.077995597,0.616057099
20250328_,1750,0.076423105,0.616057099
20250328_,1850,0.078414928,0.616057099
20250328_,1950,0.078939092,0.616057099
20250328_,2050,0.071600797,0.616057099
20250328_,2150,0.058077367,0.616057099
20250328_,2250,0.053884055,0.616057099
20250328_,2350,0.044134605,0.616057099
20250328_,2450,0.035328651,0.616057099
20250328_,2550,0.028933851,0.616057099
20250328_,2650,0.019394066,0.616057099
20250328_,2750,0.014362092,0.616057099
20250328_,2850,0.010063948,0.616057099
20250328_,2950,0.006185135,0.616057099
20250328_,3050,0.00524164,0.616057099
20250328_,3150,0.003249817,0.616057099
20250328_,3250,0.00188699,0.616057099
20250328_,3350,0.00188699,0.616057099
20250328_,3450,0.000943495,0.616057099
20250329_,550,0.043076728,0.449765367
20250329_,650,0.051616168,0.449765367
20250329_,750,0.055221709,0.449765367
20250329_,850,0.051299892,0.449765367
20250329_,950,0.043772535,0.449765367
20250329_,1050,0.041874881,0.449765367
20250329_,1150,0.036877728,0.449765367
20250329_,1250,0.034094503,0.449765367
20250329_,1350,0.036308432,0.449765367
20250329_,1450,0.033841483,0.449765367
20250329_,1550,0.035549371,0.449765367
20250329_,1650,0.036877728,0.449765367
20250329_,1750,0.043203239,0.449765367
20250329_,1850,0.04383579,0.449765367
20250329_,1950,0.042444177,0.449765367
20250329_,2050,0.045480423,0.449765367
20250329_,2150,0.048200392,0.449765367
20250329_,2250,0.046745525,0.449765367
20250329_,2350,0.038901891,0.449765367
20250329_,2450,0.03788981,0.449765367
20250329_,2550,0.034347524,0.449765367
20250329_,2650,0.027832247,0.449765367
20250329_,2750,0.024416472,0.449765367
20250329_,2850,0.016509583,0.449765367
20250329_,2950,0.013916124,0.449765367
20250329_,3050,0.010690113,0.449765367
20250329_,3150,0.010626858,0.449765367
20250329_,3250,0.006262256,0.449765367
20250329_,3350,0.005123664,0.449765367
20250329_,3450,0.003162755,0.449765367
20250330_,550,0.026118015,0.693147181
20250330_,650,0.029020016,0.693147181
20250330_,750,0.024406578,0.693147181
20250330_,850,0.023290423,0.693147181
20250330_,950,0.016742317,0.693147181
20250330_,1050,0.015402932,0.693147181
20250330_,1150,0.01756083,0.693147181
20250330_,1250,0.01756083,0.693147181
20250330_,1350,0.020165191,0.693147181
20250330_,1450,0.022843962,0.693147181
20250330_,1550,0.024704219,0.693147181
20250330_,1650,0.025373912,0.693147181
20250330_,1750,0.035642533,0.693147181
20250330_,1850,0.040851254,0.693147181
20250330_,1950,0.042116229,0.693147181
20250330_,2050,0.044646179,0.693147181
20250330_,2150,0.055584493,0.693147181
20250330_,2250,0.054691569,0.693147181
20250330_,2350,0.057072699,0.693147181
20250330_,2450,0.055510083,0.693147181
20250330_,2550,0.053352184,0.693147181
20250330_,2650,0.051938388,0.693147181
20250330_,2750,0.048366694,0.693147181
20250330_,2850,0.04233946,0.693147181
20250330_,2950,0.037726021,0.693147181
20250330_,3050,0.031326736,0.693147181
20250330_,3150,0.025373912,0.693147181
20250330_,3250,0.024778629,0.693147181
20250330_,3350,0.018751395,0.693147181
20250330_,3450,0.016742317,0.693147181
20250331_,550,0.00813039,-0.016807118
20250331_,650,0.010751871,-0.016807118
20250331_,750,0.01318339,-0.016807118
20250331_,850,0.016336765,-0.016807118
20250331_,950,0.0171726,-0.016807118
20250331_,1050,0.018806276,-0.016807118
20250331_,1150,0.024809088,-0.016807118
20250331_,1250,0.029976065,-0.016807118
20250331_,1350,0.032711523,-0.016807118
20250331_,1450,0.03879032,-0.016807118
20250331_,1550,0.043007485,-0.016807118
20250331_,1650,0.04631283,-0.016807118
20250331_,1750,0.050226055,-0.016807118
20250331_,1850,0.051631777,-0.016807118
20250331_,1950,0.053759356,-0.016807118
20250331_,2050,0.058014513,-0.016807118
20250331_,2150,0.059116295,-0.016807118
20250331_,2250,0.05843243,-0.016807118
20250331_,2350,0.058090498,-0.016807118
20250331_,2450,0.052467611,-0.016807118
20250331_,2550,0.051593784,-0.016807118
20250331_,2650,0.043463394,-0.016807118
20250331_,2750,0.036282816,-0.016807118
20250331_,2850,0.032863493,-0.016807118
20250331_,2950,0.025872877,-0.016807118
20250331_,3050,0.020781885,-0.016807118
20250331_,3150,0.016070818,-0.016807118
20250331_,3250,0.014437141,-0.016807118
20250331_,3350,0.009118195,-0.016807118
20250331_,3450,0.007788458,-0.016807118
20250401_,550,0.075,-0.687513363
20250401_,650,0.0875,-0.687513363
20250401_,750,0.075,-0.687513363
20250401_,850,0.0875,-0.687513363
20250401_,950,0.04375,-0.687513363
20250401_,1050,0.0375,-0.687513363
20250401_,1150,0.0375,-0.687513363
20250401_,1250,0.075,-0.687513363
20250401_,1350,0.0375,-0.687513363
20250401_,1450,0.0375,-0.687513363
20250401_,1550,0.01875,-0.687513363
20250401_,1650,0.05625,-0.687513363
20250401_,1750,0.05,-0.687513363
20250401_,1850,0.04375,-0.687513363
20250401_,1950,0.0375,-0.687513363
20250401_,2050,0.03125,-0.687513363
20250401_,2150,0.01875,-0.687513363
20250401_,2250,0.025,-0.687513363
20250401_,2350,0.01875,-0.687513363
20250401_,2450,0.00625,-0.687513363
20250401_,2550,0.01875,-0.687513363
20250401_,2650,0.01875,-0.687513363
20250401_,2750,0.0125,-0.687513363
20250401_,2850,0.0125,-0.687513363
20250401_,2950,0.0125,-0.687513363
20250401_,3050,0.00625,-0.687513363
20250401_,3150,0,-0.687513363
20250401_,3250,0.00625,-0.687513363
20250401_,3350,0.00625,-0.687513363
20250401_,3450,0.00625,-0.687513363
20250411_C,550,0.004198613,0.949080555
20250411_C,650,0.004928806,0.949080555
20250411_C,750,0.006267494,0.949080555
20250411_C,850,0.004746258,0.949080555
20250411_C,950,0.004381161,0.949080555
20250411_C,1050,0.004989656,0.949080555
20250411_C,1150,0.007362784,0.949080555
20250411_C,1250,0.013021784,0.949080555
20250411_C,1350,0.021662407,0.949080555
20250411_C,1450,0.039247901,0.949080555
20250411_C,1550,0.055433857,0.949080555
20250411_C,1650,0.077826457,0.949080555
20250411_C,1750,0.088353414,0.949080555
20250411_C,1850,0.098697822,0.949080555
20250411_C,1950,0.089144457,0.949080555
20250411_C,2050,0.084033102,0.949080555
20250411_C,2150,0.077826457,0.949080555
20250411_C,2250,0.067847146,0.949080555
20250411_C,2350,0.054399416,0.949080555
20250411_C,2450,0.046306438,0.949080555
20250411_C,2550,0.038943653,0.949080555
20250411_C,2650,0.028538396,0.949080555
20250411_C,2750,0.022696848,0.949080555
20250411_C,2850,0.01576001,0.949080555
20250411_C,2950,0.011439698,0.949080555
20250411_C,3050,0.009553365,0.949080555
20250411_C,3150,0.007545333,0.949080555
20250411_C,3250,0.006510892,0.949080555
20250411_C,3350,0.004198613,0.949080555
20250411_C,3450,0.004137763,0.949080555
20250411_D,550,0.003427039,0.800392711
20250411_D,650,0.004072713,0.800392711
20250411_D,750,0.004718387,0.800392711
20250411_D,850,0.00412238,0.800392711
20250411_D,950,0.004321049,0.800392711
20250411_D,1050,0.004917056,0.800392711
20250411_D,1150,0.007549419,0.800392711
20250411_D,1250,0.014850502,0.800392711
20250411_D,1350,0.028061985,0.800392711
20250411_D,1450,0.048276547,0.800392711
20250411_D,1550,0.069484454,0.800392711
20250411_D,1650,0.086470647,0.800392711
20250411_D,1750,0.099334459,0.800392711
20250411_D,1850,0.096404093,0.800392711
20250411_D,1950,0.09734777,0.800392711
20250411_D,2050,0.086520314,0.800392711
20250411_D,2150,0.072712824,0.800392711
20250411_D,2250,0.058011324,0.800392711
20250411_D,2350,0.048077878,0.800392711
20250411_D,2450,0.040776795,0.800392711
20250411_D,2550,0.028657991,0.800392711
20250411_D,2650,0.02294626,0.800392711
20250411_D,2750,0.018327208,0.800392711
20250411_D,2850,0.013509486,0.800392711
20250411_D,2950,0.009536108,0.800392711
20250411_D,3050,0.008393762,0.800392711
20250411_D,3150,0.006903745,0.800392711
20250411_D,3250,0.004718387,0.800392711
20250411_D,3350,0.004470051,0.800392711
20250411_D,3450,0.003079368,0.800392711
20250412_C,550,0.006333333,0.896746136
20250412_C,650,0.006277778,0.896746136
20250412_C,750,0.007277778,0.896746136
20250412_C,850,0.007166667,0.896746136
20250412_C,950,0.005611111,0.896746136
20250412_C,1050,0.007555556,0.896746136
20250412_C,1150,0.011777778,0.896746136
20250412_C,1250,0.023333333,0.896746136
20250412_C,1350,0.0435,0.896746136
20250412_C,1450,0.070166667,0.896746136
20250412_C,1550,0.089111111,0.896746136
20250412_C,1650,0.099944444,0.896746136
20250412_C,1750,0.097111111,0.896746136
20250412_C,1850,0.091722222,0.896746136
20250412_C,1950,0.082722222,0.896746136
20250412_C,2050,0.072277778,0.896746136
20250412_C,2150,0.061444444,0.896746136
20250412_C,2250,0.047388889,0.896746136
20250412_C,2350,0.036333333,0.896746136
20250412_C,2450,0.030555556,0.896746136
20250412_C,2550,0.023111111,0.896746136
20250412_C,2650,0.018777778,0.896746136
20250412_C,2750,0.015222222,0.896746136
20250412_C,2850,0.012777778,0.896746136
20250412_C,2950,0.009722222,0.896746136
20250412_C,3050,0.006277778,0.896746136
20250412_C,3150,0.006388889,0.896746136
20250412_C,3250,0.004444444,0.896746136
20250412_C,3350,0.003166667,0.896746136
20250412_C,3450,0.0025,0.896746136
20250412_D,550,0.006309694,0.885307186
20250412_D,650,0.006266477,0.885307186
20250412_D,750,0.007001167,0.885307186
20250412_D,850,0.005531786,0.885307186
20250412_D,950,0.008038377,0.885307186
20250412_D,1050,0.019663771,0.885307186
20250412_D,1150,0.044340723,0.885307186
20250412_D,1250,0.079562643,0.885307186
20250412_D,1350,0.107437659,0.885307186
20250412_D,1450,0.119624876,0.885307186
20250412_D,1550,0.115000648,0.885307186
20250412_D,1650,0.104801418,0.885307186
20250412_D,1750,0.09144734,0.885307186
20250412_D,1850,0.0698388,0.885307186
20250412_D,1950,0.051774061,0.885307186
20250412_D,2050,0.038203898,0.885307186
20250412_D,2150,0.029603699,0.885307186
20250412_D,2250,0.022602533,0.885307186
20250412_D,2350,0.017113963,0.885307186
20250412_D,2450,0.013051558,0.885307186
20250412_D,2550,0.008643416,0.885307186
20250412_D,2650,0.008081594,0.885307186
20250412_D,2750,0.005488569,0.885307186
20250412_D,2850,0.00458101,0.885307186
20250412_D,2950,0.003587018,0.885307186
20250412_D,3050,0.003327715,0.885307186
20250412_D,3150,0.002852327,0.885307186
20250412_D,3250,0.002593025,0.885307186
20250412_D,3350,0.002031203,0.885307186
20250412_D,3450,0.001599032,0.885307186
20250413_C,550,0.006168686,0.918918854
20250413_C,650,0.008187528,0.918918854
20250413_C,750,0.010935397,0.918918854
20250413_C,850,0.012225213,0.918918854
20250413_C,950,0.017384477,0.918918854
20250413_C,1050,0.023272768,0.918918854
20250413_C,1150,0.038974877,0.918918854
20250413_C,1250,0.060621355,0.918918854
20250413_C,1350,0.084791386,0.918918854
20250413_C,1450,0.105204127,0.918918854
20250413_C,1550,0.108064154,0.918918854
20250413_C,1650,0.105708838,0.918918854
20250413_C,1750,0.094493046,0.918918854
20250413_C,1850,0.078398385,0.918918854
20250413_C,1950,0.06196725,0.918918854
20250413_C,2050,0.050414984,0.918918854
20250413_C,2150,0.035105428,0.918918854
20250413_C,2250,0.027142216,0.918918854
20250413_C,2350,0.018954688,0.918918854
20250413_C,2450,0.014412293,0.918918854
20250413_C,2550,0.009757739,0.918918854
20250413_C,2650,0.007851054,0.918918854
20250413_C,2750,0.006168686,0.918918854
20250413_C,2850,0.004374159,0.918918854
20250413_C,2950,0.002860027,0.918918854
20250413_C,3050,0.002187079,0.918918854
20250413_C,3150,0.00162629,0.918918854
20250413_C,3250,0.001514132,0.918918854
20250413_C,3350,0.000841184,0.918918854
20250413_C,3450,0.000392553,0.918918854
20250413_D,550,0.007625127,1.060602963
20250413_D,650,0.00851177,1.060602963
20250413_D,750,0.010285056,1.060602963
20250413_D,850,0.01493993,1.060602963
20250413_D,950,0.018708162,1.060602963
20250413_D,1050,0.02863856,1.060602963
20250413_D,1150,0.047036397,1.060602963
20250413_D,1250,0.073901671,1.060602963
20250413_D,1350,0.096156404,1.060602963
20250413_D,1450,0.11703684,1.060602963
20250413_D,1550,0.115396551,1.060602963
20250413_D,1650,0.112913951,1.060602963
20250413_D,1750,0.091457197,1.060602963
20250413_D,1850,0.076605932,1.060602963
20250413_D,1950,0.060513366,1.060602963
20250413_D,2050,0.041007226,1.060602963
20250413_D,2150,0.0271756,1.060602963
20250413_D,2250,0.016713215,1.060602963
20250413_D,2350,0.010772709,1.060602963
20250413_D,2450,0.007580795,1.060602963
20250413_D,2550,0.004521878,1.060602963
20250413_D,2650,0.00332491,1.060602963
20250413_D,2750,0.002792925,1.060602963
20250413_D,2850,0.001640289,1.060602963
20250413_D,2950,0.001551625,1.060602963
20250413_D,3050,0.001152636,1.060602963
20250413_D,3150,0.000797978,1.060602963
20250413_D,3250,0.000709314,1.060602963
20250413_D,3350,0.000265993,1.060602963
20250413_D,3450,0.000265993,1.060602963
20250414_C,550,0.009512974,0.652981139
